TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,2,2024-07-20,30,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1003,Chelsea
1,2,2024-07-20,31,HOTEL FUEGO BRONX,199,220,10,Exceptional,1,Bronx
1,2,2024-07-20,32,The FIDI Hotel,254,270,8.8,Excellent,438,New York
1,2,2024-07-20,33,"Club Quarters, Times Square - Midtown",296,372,8.6,Excellent,2652,Central New York City
1,2,2024-07-20,34,Hotel Beacon,499,406,9.2,Wonderful,1044,Upper West Side
1,2,2024-07-20,35,Archer Hotel New York,305,354,9.2,Wonderful,1007,Central New York City
1,2,2024-07-20,36,Arlo NoMad,289,342,8.6,Excellent,1323,New York
1,2,2024-07-20,37,Broadway Plaza Hotel,329,355,9.2,Wonderful,1525,New York
1,2,2024-07-20,38,Freehand New York,224,294,8.2,Very Good,1074,New York
1,2,2024-07-20,39,Fairfield Inn by Marriott New York Manhattan/Times Square,281,326,8.8,Excellent,1147,New York
1,2,2024-07-20,40,Wingate by Wyndham New York Midtown South/5th Ave,285,330,8.6,Excellent,1010,New York
1,2,2024-07-20,41,Pod 39,224,284,8.8,Excellent,1554,New York
1,2,2024-07-20,42,Hyatt Grand Central New York,278,369,8.0,Very Good,3849,New York
1,2,2024-07-20,43,The Flat NYC,274,255,8.6,Excellent,301,New York
1,2,2024-07-20,44,"The Cloud One New York-Downtown, by the Motel One Group",289,335,8.8,Excellent,649,New York
1,2,2024-07-20,45,SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,246,285,9.0,Wonderful,235,New York
1,2,2024-07-20,46,World Center Hotel,270,342,8.6,Excellent,2097,New York
1,2,2024-07-20,47,Hilton Garden Inn New York/Manhattan-Midtown East,265,308,8.2,Very Good,1256,New York
1,2,2024-07-20,48,Arlo NoMad,289,342,8.6,Excellent,1323,New York
1,2,2024-07-20,49,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
1,2,2024-07-20,50,Hotel St. James,359,374,8.6,Excellent,4506,Theater District
1,2,2024-07-20,51,Made Hotel,278,357,9.2,Wonderful,329,New York
1,2,2024-07-20,52,Sofitel New York,284,364,8.6,Excellent,1006,Central New York City
1,2,2024-07-20,53,Paramount Times Square,224,301,7.2,Good,2770,Theater District
1,2,2024-07-20,54,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,247,287,8.8,Excellent,1732,New York
1,2,2024-07-20,55,The Bryant Park Hotel,295,376,9.2,Wonderful,1007,Central New York City
1,2,2024-07-20,56,Fitzpatrick Grand Central,248,317,9.0,Wonderful,1003,New York
1,2,2024-07-20,57,Residence Inn by Marriott New York Manhattan/Midtown East,334,389,9.2,Wonderful,1006,New York
1,2,2024-07-20,58,The Luxury Collection Hotel Manhattan Midtown,356,454,8.6,Excellent,1005,New York
1,2,2024-07-20,59,"The Algonquin Hotel Times Square, Autograph Collection",239,318,8.8,Excellent,1002,Central New York City
1,2,2024-07-20,60,Hilton Garden Inn New York/Midtown Park Ave,264,307,8.4,Very Good,1009,New York
1,2,2024-07-20,61,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
1,2,2024-07-20,62,citizenM New York Bowery,319,370,9.2,Wonderful,1175,New York
1,2,2024-07-20,63,Millennium Downtown New York,289,342,7.4,Good,2358,New York
1,2,2024-07-20,64,Courtyard New York Manhattan/ Midtown East,729,413,8.8,Excellent,2035,New York
1,2,2024-07-20,65,"Kimpton Hotel Eventi, an IHG Hotel",309,396,9.0,Wonderful,1004,Chelsea
1,2,2024-07-20,66,East Village Hotel,226,265,8.2,Very Good,656,New York
