Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Annual variation;2015M12;2.3
Total passengers;;;;;Annual variation;2015M11;4.8
Total passengers;;;;;Annual variation;2015M10;-2.0
Total passengers;;;;;Annual variation;2015M09;1.7
Total passengers;;;;;Annual variation;2015M08;2.9
Total passengers;;;;;Annual variation;2015M07;2.0
Total passengers;;;;;Annual variation;2015M06;2.9
Total passengers;;;;;Annual variation;2015M05;0.2
Total passengers;;;;;Annual variation;2015M04;1.6
Total passengers;;;;;Annual variation;2015M03;0.0
Total passengers;;;;;Annual variation;2015M02;-1.0
Total passengers;;;;;Annual variation;2015M01;-2.4
Total passengers;;;;;Annual variation;2014M12;1.6
Total passengers;;;;;Annual variation;2014M11;-0.6
Total passengers;;;;;Annual variation;2014M10;0.4
Total passengers;;;;;Annual variation;2014M09;3.1
Total passengers;;;;;Annual variation;2014M08;-0.1
Total passengers;;;;;Annual variation;2014M07;-0.5
Total passengers;;;;;Annual variation;2014M06;-1.9
Total passengers;;;;;Annual variation;2014M05;-2.1
Total passengers;;;;;Annual variation;2014M04;-5.7
Total passengers;;;;;Annual variation;2014M03;6.1
Total passengers;;;;;Annual variation;2014M02;-0.3
Total passengers;;;;;Annual variation;2014M01;-1.6
Total passengers;;;;;Annual variation;2013M12;1.9
Total passengers;;;;;Annual variation;2013M11;0.9
Total passengers;;;;;Annual variation;2013M10;1.9
Total passengers;;;;;Annual variation;2013M09;-0.1
Total passengers;;;;;Annual variation;2013M08;-3.9
Total passengers;;;;;Annual variation;2013M07;-1.2
Total passengers;;;;;Annual variation;2013M06;-3.7
Total passengers;;;;;Annual variation;2013M05;-2.6
Total passengers;;;;;Annual variation;2013M04;7.1
Total passengers;;;;;Annual variation;2013M03;-11.0
Total passengers;;;;;Annual variation;2013M02;-6.7
Total passengers;;;;;Annual variation;2013M01;-3.2
Total passengers;;;;;Annual variation;2012M12;-8.4
Total passengers;;;;;Annual variation;2012M11;-7.9
Total passengers;;;;;Annual variation;2012M10;-0.7
Total passengers;;;;;Annual variation;2012M09;-7.2
Total passengers;;;;;Annual variation;2012M08;-5.5
Total passengers;;;;;Annual variation;2012M07;-1.7
Total passengers;;;;;Annual variation;2012M06;-3.0
Total passengers;;;;;Annual variation;2012M05;-3.1
Total passengers;;;;;Annual variation;2012M04;-4.8
Total passengers;;;;;Annual variation;2012M03;-4.1
Total passengers;;;;;Annual variation;2012M02;0.4
Total passengers;;;;;Annual variation;2012M01;1.6
Total passengers;;;;;Annual variation;2011M12;-0.6
Total passengers;;;;;Annual variation;2011M11;-1.1
Total passengers;;;;;Annual variation;2011M10;-0.5
Total passengers;;;;;Annual variation;2011M09;0.5
Total passengers;;;;;Annual variation;2011M08;2.3
Total passengers;;;;;Annual variation;2011M07;-2.1
Total passengers;;;;;Annual variation;2011M06;0.0
Total passengers;;;;;Annual variation;2011M05;0.8
Total passengers;;;;;Annual variation;2011M04;-4.2
Total passengers;;;;;Annual variation;2011M03;1.4
Total passengers;;;;;Annual variation;2011M02;0.9
