Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M09;86,944
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M08;60,926
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M07;84,912
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M06;91,362
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M05;98,196
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M04;99,218
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M03;92,794
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M02;91,374
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M01;93,672
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M12;90,267
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M11;95,445
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M10;103,491
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M09;88,669
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M08;65,375
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M07;89,033
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M06;98,645
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M05;104,442
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M04;94,622
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M03;108,141
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M02;101,730
Total passengers;City transport;Metro City Transport;;;Passengers transported;2012M01;100,724
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M12;100,369
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M11;103,825
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M10;105,286
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M09;96,715
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M08;74,503
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M07;90,605
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M06;101,068
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M05;109,712
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M04;98,694
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M03;113,745
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M02;99,436
Total passengers;City transport;Metro City Transport;;;Passengers transported;2011M01;99,819
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M12;101,503
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M11;105,070
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M10;105,032
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M09;95,466
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M08;66,622
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M07;90,679
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M06;96,575
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M05;108,325
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M04;102,914
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M03;110,077
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M02;98,916
Total passengers;City transport;Metro City Transport;;;Passengers transported;2010M01;97,727
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M12;101,597
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M11;102,884
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M10;106,141
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M09;93,476
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M08;66,084
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M07;94,997
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M06;99,967
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M05;102,868
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M04;98,039
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M03;107,149
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M02;99,155
Total passengers;City transport;Metro City Transport;;;Passengers transported;2009M01;100,672
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M12;103,158
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M11;104,996
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M10;112,986
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M09;95,812
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M08;66,632
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M07;96,716
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M06;103,109
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M05;106,184
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M04;113,480
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M03;102,433
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M02;106,077
Total passengers;City transport;Metro City Transport;;;Passengers transported;2008M01;106,426
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M12;100,228
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M11;106,531
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M10;111,806
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M09;94,081
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M08;69,858
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M07;94,526
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M06;104,538
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M05;110,335
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M04;97,114
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M03;113,578
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M02;100,224
Total passengers;City transport;Metro City Transport;;;Passengers transported;2007M01;104,773
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M12;98,880
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M11;104,860
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M10;106,164
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M09;90,388
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M08;62,518
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M07;86,297
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M06;99,511
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M05;105,046
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M04;91,579
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M03;110,503
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M02;98,214
Total passengers;City transport;Metro City Transport;;;Passengers transported;2006M01;101,218
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M12;97,735
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M11;104,031
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M10;102,239
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M09;90,464
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M08;60,606
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M07;83,646
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M06;97,850
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M05;101,717
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M04;103,044
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M03;98,247
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M02;94,541
Total passengers;City transport;Metro City Transport;;;Passengers transported;2005M01;94,562
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M12;95,171
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M11;99,406
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M10;97,716
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M09;89,107
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M08;56,801
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M07;81,389
Total passengers;City transport;Metro City Transport;;;Passengers transported;2004M06;92,723
